Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW42,2.25u,Kailh_socket_MX_optional,293.4688,-77.1525,180.0,top
SW43,1u,Kailh_socket_MX_optional,324.425,-77.1525,180.0,top
SW44,2.25u,Kailh_socket_MX_optional,50.5813,-96.2025,180.0,top
SW45,1u,Kailh_socket_MX_optional,81.5375,-96.2025,180.0,top
SW46,1u,Kailh_socket_MX_optional,100.5875,-96.2025,180.0,top
SW47,1u,Kailh_socket_MX_optional,119.6375,-96.2025,180.0,top
SW48,1u,Kailh_socket_MX_optional,138.6875,-96.2025,180.0,top
SW49,1u,Kailh_socket_MX_optional,157.7375,-96.2025,180.0,top
SW50,1u,Kailh_socket_MX_optional,176.7875,-96.2025,180.0,top
SW51,1u,Kailh_socket_MX_optional,195.8375,-96.2025,180.0,top
SW52,1u,Kailh_socket_MX_optional,214.8875,-96.2025,180.0,top
SW53,1u,Kailh_socket_MX_optional,233.9375,-96.2025,180.0,top
SW54,1u,Kailh_socket_MX_optional,252.9875,-96.2025,180.0,top
SW55,1.75u,Kailh_socket_MX_optional,279.1813,-96.2025,180.0,top
SW56,1u,Kailh_socket_MX_optional,305.375,-96.2025,180.0,top
SW57,1u,Kailh_socket_MX_optional,324.425,-96.2025,180.0,top
SW58,1.25u,Kailh_socket_MX_optional,41.0563,-115.2525,180.0,top
SW59,1.25u,Kailh_socket_MX_optional,64.8688,-115.2525,180.0,top
SW60,1.25u,Kailh_socket_MX_optional,88.6813,-115.2525,180.0,top
SW61,6.25u,Kailh_socket_MX_optional,160.1188,-115.2525,180.0,top
SW62,1.25u,Kailh_socket_MX_optional,231.5563,-115.2525,180.0,top
SW63,1.25u,Kailh_socket_MX_optional,255.3688,-115.2525,180.0,top
SW64,1u,Kailh_socket_MX_optional,286.325,-115.2525,180.0,top
SW65,1u,Kailh_socket_MX_optional,305.375,-115.2525,180.0,top
SW66,1u,Kailh_socket_MX_optional,324.425,-115.2525,180.0,top
